experiment mse r2 time
FBL01 0.24882124911593637 0.31801069026958073 9.835465669631958
FBL02 0.18686387592380257 0.6460500786507856 12.20983076095581
ETNA01 0.20252809191753948 0.5946547172091485 7.129140377044678
ETNA02 0.21102815214375695 0.5867532899041623 8.572715044021606
MONZ04 0.30654556459021703 0.08187278859838054 17.97826361656189
MONZ05 0.24283782615533642 0.29382536636674206 11.81270146369934
WG01 0.24998786601900236 0.4057231790618139 13.8266761302948
WG02 0.261639728928286 0.3265269602720017 17.240625858306885
WG04 0.25871786759359106 0.3338070241895671 15.187170505523682
GRS02 0.22008807564153704 0.5172039180439454 6.161524534225464
GRS03 0.09817709936509077 0.908288147346474 1.6489710807800293
ANS02 0.34567612866556996 -0.44375820302412183 18.11696696281433
ANS03 0.3409024873286837 -0.18047062540095204 13.861559629440308
ANS04 0.24100509348628488 0.34008651558111536 51.22982859611511
ANS05 0.32220002000912035 0.10057929267187926 7.89417290687561
